Nodes;Dim;Test;Job;JobId;Alias;Feature;Worker;Duration
6;500;4;2;1485986378424_0029;C,multiplied_matrices;GROUP_BY,COMBINER;ma;273
6;500;4;2;1485986378424_0029;C,multiplied_matrices;GROUP_BY,COMBINER;w1;265
6;500;4;2;1485986378424_0029;C,multiplied_matrices;GROUP_BY,COMBINER;w2;266
6;500;4;2;1485986378424_0029;C,multiplied_matrices;GROUP_BY,COMBINER;w3;265
6;500;4;2;1485986378424_0029;C,multiplied_matrices;GROUP_BY,COMBINER;w4;266
6;500;4;2;1485986378424_0029;C,multiplied_matrices;GROUP_BY,COMBINER;w5;267
6;500;5;1;1485986378424_0030;A,B,matrix1,matrix2;HASH_JOIN;ma;137
6;500;5;1;1485986378424_0030;A,B,matrix1,matrix2;HASH_JOIN;w1;130
6;500;5;1;1485986378424_0030;A,B,matrix1,matrix2;HASH_JOIN;w2;117
6;500;5;1;1485986378424_0030;A,B,matrix1,matrix2;HASH_JOIN;w3;114
6;500;5;1;1485986378424_0030;A,B,matrix1,matrix2;HASH_JOIN;w4;128
6;500;5;1;1485986378424_0030;A,B,matrix1,matrix2;HASH_JOIN;w5;115
6;500;5;2;1485986378424_0031;C,multiplied_matrices;GROUP_BY,COMBINER;ma;286
6;500;5;2;1485986378424_0031;C,multiplied_matrices;GROUP_BY,COMBINER;w1;277
6;500;5;2;1485986378424_0031;C,multiplied_matrices;GROUP_BY,COMBINER;w2;279
6;500;5;2;1485986378424_0031;C,multiplied_matrices;GROUP_BY,COMBINER;w3;276
6;500;5;2;1485986378424_0031;C,multiplied_matrices;GROUP_BY,COMBINER;w4;279
